sample_name,sample_type,run_index,thickness_nm
synthetic_WT_run463_plane,WT,463,66.61675551755668
synthetic_WT_run182_plane,WT,182,56.77504039147694
synthetic_WT_run215_plane,WT,215,58.41627573522794
synthetic_WT_run277_plane,WT,277,60.18217975585331
synthetic_WT_run358_plane,WT,358,63.27936671121461
synthetic_WT_run713_plane,WT,713,73.43011012725242
synthetic_WT_run1006_plane,WT,1006,79.97068026761407
synthetic_WT_run628_plane,WT,628,71.10530822726443
synthetic_WT_run804_plane,WT,804,75.76345781090988
synthetic_WT_run883_plane,WT,883,77.56244096178077
synthetic_WT_run1331_plane,WT,1331,86.29472986306274
synthetic_WT_run1146_plane,WT,1146,82.49163132740533
synthetic_WT_run1109_plane,WT,1109,81.80912167880476
synthetic_WT_run1040_plane,WT,1040,80.66717023064051
synthetic_WT_run1348_plane,WT,1348,86.54936152575982
synthetic_WT_run1779_plane,WT,1779,93.70211579215696
synthetic_WT_run1723_plane,WT,1723,92.73643953981956
synthetic_WT_run1924_plane,WT,1924,95.66447203579676
synthetic_WT_run1544_plane,WT,1544,89.960190666482
synthetic_WT_run1967_plane,WT,1967,96.3846748518761
synthetic_WT_run2103_plane,WT,2103,98.68204075059975
synthetic_WT_run2013_plane,WT,2013,97.2331277781124
synthetic_WT_run2243_plane,WT,2243,100.65269471398088
synthetic_WT_run2233_plane,WT,2233,100.52671101283804
synthetic_WT_run2251_plane,WT,2251,100.88114714775742
synthetic_WT_run2795_plane,WT,2795,108.89550287337202
synthetic_WT_run2555_plane,WT,2555,105.40381363423646
synthetic_WT_run2574_plane,WT,2574,105.6176391638559
synthetic_WT_run2940_plane,WT,2940,110.90530386264818
synthetic_WT_run2541_plane,WT,2541,105.214681989099
synthetic_WT_run3175_plane,WT,3175,113.7999607075448
synthetic_WT_run3411_plane,WT,3411,117.09300013951032
synthetic_WT_run3416_plane,WT,3416,117.16921463768904
synthetic_WT_run3144_plane,WT,3144,113.41559744271744
synthetic_WT_run3368_plane,WT,3368,116.57491314787048
synthetic_WT_run3744_plane,WT,3744,121.6908788123334
synthetic_WT_run3970_plane,WT,3970,125.40633833770632
synthetic_WT_run3950_plane,WT,3950,124.985020452256
synthetic_WT_run3909_plane,WT,3909,124.27759752333648
synthetic_WT_run3534_plane,WT,3534,118.88700422031124
synthetic_WT_run4253_plane,WT,4253,130.61319588810886
synthetic_WT_run4462_plane,WT,4462,135.681002357328
synthetic_WT_run4389_plane,WT,4389,133.78325021468925
synthetic_WT_run4087_plane,WT,4087,127.37367575229544
synthetic_WT_run4197_plane,WT,4197,129.498885183283
synthetic_WT_run4553_plane,WT,4553,139.0301164350978
synthetic_WT_run4674_plane,WT,4674,144.24555654620906
synthetic_WT_run4808_plane,WT,4808,151.5757152571743
synthetic_WT_run4679_plane,WT,4679,144.35821323497316
synthetic_WT_run4632_plane,WT,4632,142.45296298439047
synthetic_AS_run136_plane,AS,136,35.85672153129707
synthetic_AS_run98_plane,AS,98,33.41933797673535
synthetic_AS_run635_plane,AS,635,30.16911594969863
synthetic_AS_run659_plane,AS,659,30.955441915505588
synthetic_AS_run108_plane,AS,108,34.17084186240655
synthetic_AS_run930_plane,AS,930,38.43335090894048
synthetic_AS_run945_plane,AS,945,38.77440567872007
synthetic_AS_run209_plane,AS,209,40.68304795123207
synthetic_AS_run971_plane,AS,971,39.60348349569699
synthetic_AS_run1085_plane,AS,1085,41.99304778033494
synthetic_AS_run1533_plane,AS,1533,51.25896898723603
synthetic_AS_run1234_plane,AS,1234,44.72222486499589
synthetic_AS_run1405_plane,AS,1405,48.26426738399375
synthetic_AS_run1253_plane,AS,1253,45.13284970359588
synthetic_AS_run1345_plane,AS,1345,47.021110264244506
synthetic_AS_run1752_plane,AS,1752,56.330406021244826
synthetic_AS_run1904_plane,AS,1904,59.14328280732831
synthetic_AS_run1985_plane,AS,1985,60.63859360979018
synthetic_AS_run1660_plane,AS,1660,54.1013536325106
synthetic_AS_run1757_plane,AS,1757,56.49414138339874
synthetic_AS_run2161_plane,AS,2161,64.59456997851173
synthetic_AS_run2293_plane,AS,2293,66.87869247746967
synthetic_AS_run2498_plane,AS,2498,71.30484838485053
synthetic_AS_run2144_plane,AS,2144,64.1133822262004
synthetic_AS_run2160_plane,AS,2160,64.58290592937428
synthetic_AS_run2877_plane,AS,2877,79.68164108175924
synthetic_AS_run2790_plane,AS,2790,77.21137349098026
synthetic_AS_run2645_plane,AS,2645,74.31830563400459
synthetic_AS_run2529_plane,AS,2529,71.92306957099503
synthetic_AS_run2578_plane,AS,2578,72.89874323695439
synthetic_AS_run3250_plane,AS,3250,88.971624047704
synthetic_AS_run3402_plane,AS,3402,93.68594927821036
synthetic_AS_run3077_plane,AS,3077,84.34525944263676
synthetic_AS_run3306_plane,AS,3306,90.30491250588102
synthetic_AS_run3282_plane,AS,3282,89.77997797657383
synthetic_AS_run3524_plane,AS,3524,97.46649284431123
synthetic_AS_run3773_plane,AS,3773,107.08819721023129
synthetic_AS_run3584_plane,AS,3584,99.84746310569224
synthetic_AS_run3776_plane,AS,3776,107.2901791341742
synthetic_AS_run3955_plane,AS,3955,116.10034416535493
synthetic_AS_run4233_plane,AS,4233,139.02690679617768
synthetic_AS_run4124_plane,AS,4124,128.35212027930464
synthetic_AS_run4282_plane,AS,4282,145.6493960396597
synthetic_AS_run4225_plane,AS,4225,138.164343384411
synthetic_AS_run4140_plane,AS,4140,130.1960953081698
synthetic_AS_run4970_plane,AS,4970,353.8839439172929
synthetic_AS_run4828_plane,AS,4828,292.2286194822915
synthetic_AS_run4852_plane,AS,4852,299.599020333952
synthetic_AS_run4747_plane,AS,4747,267.2163367438717
synthetic_AS_run4685_plane,AS,4685,242.9208154068451
