metric,value
angle_deg,117.0
voxel_nm,0.236999991280692
spacing_sample_count,25
mean_sd_spacing_nm,52.0842576
sd_spacing_std_nm,1.8906051568066757
rectangle_width_nm,19.433999285016743
reference_projection_height_nm,50.2439981515067
height_scale_vs_reference,1.036626453232168
reference_rectangle_area_nm2,976.4418241527637
reference_protein_area_nm2,479.8517316921917
reference_water_open_area_nm2,496.590092460572
rectangle_area_nm2,1012.2054249590278
scaled_protein_area_nm2,497.42699870139063
water_open_area_total_nm2,514.7784262576372
water_open_area_per_large_pore_nm2,257.3892131288186
water_open_fraction,0.508571099861942
protein_fraction,0.491428900138058
