sample,tomo,sd_spacing_nm,aeff_lower_random_3d_per_large_pore_nm2,aeff_upper_best_3d_per_large_pore_nm2,aeff_midpoint_per_large_pore_nm2,alpha_lower_random_3d,alpha_upper_best_3d,alpha_midpoint,sieving_lower_random_3d,sieving_upper_best_3d,sieving_midpoint,sieving_coefficient
1,118,51.0972,0.08277441639087389,2.115447670705594,1.0991110435482339,0.0003065719125587922,0.007834991372983682,0.004070781642771236,0.16324466190211834,0.832941734996455,0.4980931984492867,0.4980931984492867
2,134,50.31036,0.20469085274738286,3.2549237138303537,1.7298072832888682,0.0007581142694347514,0.012055273014186496,0.0064066936418106235,0.32543618797218543,0.8846808476964054,0.6050585178342954,0.6050585178342954
3,133,53.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,180,49.06848,0.48217344587788247,4.811927858092826,2.6470506519853543,0.0017858275773254906,0.01782195502997343,0.00980389130364946,0.5319322825031255,0.9189713686359361,0.7254518255695308,0.7254518255695308
5,347,54.8892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,241,53.14488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,380,52.9458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,352,53.8464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,110,48.87888,0.5332710588168945,5.024428300190323,2.7788496795036086,0.001975077995618128,0.0186089937044086,0.010292035850013365,0.5569096118298003,0.9221314956900161,0.7395205537599081,0.7395205537599081
10,120,52.614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,130,52.73724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,210,49.2486,0.43591885249083395,4.603979596324221,2.5199492244075277,0.0016145142684845701,0.0170517762826823,0.009333145275583436,0.5067634434624699,0.9156203576803269,0.7111919005713985,0.7111919005713985
13,211,51.12564,0.07924732403883426,2.0719983041950965,1.0756228141169653,0.000293508607551238,0.007674067793315172,0.003983788200433205,0.15738341935785324,0.830033979458424,0.49370869940813866,0.49370869940813866
14,216,51.27732,0.061623153237619036,1.8375961874666864,0.9496096703521527,0.0002282339008800705,0.006805911805432172,0.0035170728531561213,0.1268211009773488,0.8124201319904504,0.4696206164838996,0.4696206164838996
15,232,54.15924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,252,51.68496,0.025908967780957533,1.1853998103562362,0.6056543890685969,9.595913992947234e-05,0.00439036966798606,0.0022431644039577663,0.057550933101801184,0.7364182578323148,0.396984595467058,0.396984595467058
17,345,51.60912,0.03136867019155449,1.3091843263805136,0.6702764982860341,0.00011618025996872033,0.004848830838446346,0.0024825055492075335,0.06884353178370647,0.7552402672832782,0.41204189953349235,0.41204189953349235
18,381,54.11184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,387,47.76024,0.8775576850822455,6.148611015413874,3.5130843502480595,0.003250213648452761,0.022772633390421754,0.013011423519437258,0.6740899217577134,0.935449590643246,0.8047697562004796,0.8047697562004796
20,391,52.68984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,474,54.20664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,485,53.78952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,487,52.21584,0.0013740626963936848,0.28805576228344454,0.1447149124899191,5.089121097754388e-06,0.0010668731936423871,0.0005359811573700708,0.0032280979667536867,0.40438030023738386,0.20380419910206876,0.20380419910206876
24,495,53.01216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,496,51.88404,0.01365851112868001,0.8551871253226441,0.43442281822566203,5.0587078254370406e-05,0.0031673597234172,0.0016089734008357852,0.031187980136964655,0.6683916324884154,0.34978980631269,0.34978980631269
