sample,tomo,slit_width_nm,estimated_protein_length_nm,length_scale_vs_reference,hex_major_axis_nm,hex_minor_axis_nm,hex_inradius_nm,top_bottom_angle_deg,side_angle_deg,albumin_radius_margin_nm,passes_albumin_3p55nm
1,118,51.0972,51.0972,1.0169811694905437,14.415597805997624,5.881596236342538,2.940798118171269,83.75577916892622,138.12211041553687,-0.609201881828731,False
2,134,50.31036,50.31036,1.0013207915559028,14.193613646832913,6.120166244409403,3.0600831222047016,87.99425843963118,136.0028707801844,-0.48991687779529824,False
3,133,53.799,53.799,1.070754756374552,15.17783256939453,4.900131686250353,2.4500658431251763,67.58015575404654,146.20992212297674,-1.0999341568748235,False
4,180,49.06848,49.06848,0.9766038095144813,13.843253106464509,6.463360578551998,3.231680289275999,94.37370854295662,132.8131457285217,-0.3183197107240008,False
5,347,54.8892,54.8892,1.09245287038038,15.485400982695035,4.405947112987193,2.2029735564935966,60.00834805687441,149.99582597156277,-1.3470264435064032,False
6,241,53.14488,53.14488,1.0577358879710552,14.993291521414225,5.16525202627923,2.582626013139615,71.78158075930988,144.10920962034504,-0.9673739868603848,False
7,380,52.945800000000006,52.945800000000006,1.053773623674339,14.937126854637613,5.241991326143207,2.6209956630716036,73.01839900791727,143.49080049604135,-0.9290043369283962,False
8,352,53.846399999999996,53.846399999999996,1.0716981526356748,15.191205109103246,4.88008930449988,2.44004465224994,67.26679285153705,146.36660357423148,-1.1099553477500597,False
9,110,48.87888,48.87888,0.9728302244699895,13.789762947629638,6.512507614422998,3.256253807211499,95.31846012067071,132.34076993966465,-0.2937461927885008,False
10,120,52.614,52.614,1.047169849846478,14.843519076676587,5.3661464272083155,2.6830732136041577,75.04069228188051,142.47965385905974,-0.8669267863958421,False
11,130,52.73724000000001,52.73724000000001,1.049622680125398,14.878287679919257,5.3205621502195495,2.6602810751097747,74.29506057225593,142.852469713872,-0.8897189248902251,False
12,210,49.2486,49.2486,0.9801887153067486,13.894068757357637,6.4159091650526126,3.2079545825263063,93.46946248573894,133.26526875713054,-0.34204541747369355,False
13,211,51.125640000000004,51.125640000000004,1.0175472072472176,14.423621329822856,5.872634627598057,2.9363173137990284,83.5993371231886,138.2003314384057,-0.6136826862009714,False
14,216,51.27732000000001,51.27732000000001,1.0205660752828112,14.466413456890754,5.824419850620383,2.9122099253101914,82.76090473186147,138.61954763406928,-0.6377900746898084,False
15,232,54.15924,54.15924,1.0779245679590863,15.279463871180782,4.744742024302903,2.3723710121514516,65.16526497318185,147.41736751340906,-1.1776289878485482,False
16,252,51.684960000000004,51.684960000000004,1.0286792831284683,14.581417298385723,5.6912255035849375,2.8456127517924688,80.47218690615198,139.763906546924,-0.7043872482075311,False
17,345,51.60912,51.60912,1.0271698491106716,14.560021234851774,5.716416029267851,2.8582080146339255,80.90204006998088,139.54897996500955,-0.6917919853660743,False
18,381,54.111839999999994,54.111839999999994,1.0769811716979634,15.266091331472063,4.765601356333502,2.382800678166751,65.4875202487542,147.2562398756229,-1.167199321833249,False
19,387,47.76024,47.76024,0.9505660727074878,13.474171010503902,6.786667540521356,3.393333770260678,100.7559982663236,129.6220008668382,-0.15666622973932176,False
20,391,52.689840000000004,52.689840000000004,1.048679283864275,14.864915140210536,5.338167430453537,2.6690837152267686,74.58259565938857,142.7087021703057,-0.8809162847732313,False
21,474,54.20664,54.20664,1.0788679642202095,15.292836410889501,4.72375272609054,2.36187636304527,64.84158540321711,147.57920729839145,-1.18812363695473,False
22,485,53.789519999999996,53.789519999999996,1.0705660771223273,15.175158061452784,4.90412595771953,2.452062978859765,67.64267472043842,146.17866263978078,-1.0979370211402348,False
23,487,52.21583999999999,52.21583999999999,1.0392453212530453,14.731189743123359,5.509342973314167,2.7546714866570836,77.40776474682674,141.29611762658664,-0.7953285133429162,False
24,495,53.01216,53.01216,1.055094378439911,14.955848410229816,5.216604182849405,2.6083020914247026,72.60814699092033,143.69592650453984,-0.9416979085752972,False
25,496,51.88403999999999,51.88403999999999,1.0326415474251844,14.637581965162333,5.624176364737242,2.812088182368621,79.3346322793848,140.33268386030758,-0.737911817631379,False
