metric,value
reference_sdsubunit_length_nm,50.2439981515067
slit_width_to_protein_length_fraction,1.0
albumin_radius_nm,3.55
pass_threshold_protein_length_nm,46.336915925889734
pass_threshold_hex_major_axis_nm,13.07262127000995
pass_threshold_hex_minor_axis_nm,7.100005488863231
sample_count,25
pass_count,0
pass_fraction,0.0
estimated_protein_length_nm_min,47.76024
estimated_protein_length_nm_q1,51.125640000000004
estimated_protein_length_nm_median,52.614
estimated_protein_length_nm_q3,53.789519999999996
estimated_protein_length_nm_max,54.8892
estimated_protein_length_nm_mean,52.0842576
estimated_protein_length_nm_std,1.8906051568066757
hex_major_axis_nm_min,13.474171010503902
hex_major_axis_nm_q1,14.423621329822856
hex_major_axis_nm_median,14.843519076676587
hex_major_axis_nm_q3,15.175158061452784
hex_major_axis_nm_max,15.485400982695035
hex_major_axis_nm_mean,14.694067572891958
hex_major_axis_nm_std,0.5333795893017639
hex_minor_axis_nm_min,4.405947112987193
hex_minor_axis_nm_q1,4.90412595771953
hex_minor_axis_nm_median,5.3661464272083155
hex_minor_axis_nm_q3,5.872634627598057
hex_minor_axis_nm_max,6.786667540521356
hex_minor_axis_nm_mean,5.495661457590428
hex_minor_axis_nm_std,0.6345638762080591
hex_inradius_nm_min,2.2029735564935966
hex_inradius_nm_q1,2.452062978859765
hex_inradius_nm_median,2.6830732136041577
hex_inradius_nm_q3,2.9363173137990284
hex_inradius_nm_max,3.393333770260678
hex_inradius_nm_mean,2.747830728795214
hex_inradius_nm_std,0.31728193810402955
top_bottom_angle_deg_min,60.00834805687441
top_bottom_angle_deg_q1,67.64267472043842
top_bottom_angle_deg_median,75.04069228188051
top_bottom_angle_deg_q3,83.5993371231886
top_bottom_angle_deg_max,100.7559982663236
top_bottom_angle_deg_mean,77.57853400645456
top_bottom_angle_deg_std,10.80187050840007
side_angle_deg_min,129.6220008668382
side_angle_deg_q1,138.2003314384057
side_angle_deg_median,142.47965385905974
side_angle_deg_q3,146.17866263978078
side_angle_deg_max,149.99582597156277
side_angle_deg_mean,141.21073299677272
side_angle_deg_std,5.40093525420003
